"","id","famrel_1997","sex","bmonth","byear","praised","prelpref","psraised","psrelpref","agemon_1997","ageyear_1997","samplesype","race","famrel_1998","agemon_1998","ageyear_1998","famrel_1999","agemon_1999","ageyear_1999","famrel_2000","attend_2000","agemon_2000","ageyear_2000","attend_2001","agemon_2001","ageyear_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","ageyear_2002","agemon_2003","ageyear_2003","attend_2003","agemon_2004","ageyear_2004","attend_2004","agemon_2005","ageyear_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","ageyear_2006","attend_2006","agemon_2007","ageyear_2007","attend_2007","agemon_2008","ageyear_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","ageyear_2009","attend_2009","agemon_2010","ageyear_2010","attend_2010","attcat_2000","attcat_2001","attcat_2002","attcat_2003","attcat_2004","attcat_2005","attcat_2006","attcat_2007","attcat_2008","attcat_2009","attcat_2010","transcat_2001","transcat_2002","transcat_2003","transcat_2004","transcat_2005","transcat_2006","transcat_2007","transcat_2008","transcat_2009","transcat_2010"
"3",4,-4,2,2,1981,1,1,-4,-4,192,15,1,2,-4,213,17,-4,228,18,-4,2,238,19,1,251,20,3,0,0,1,1,1,262,21,276,22,1,287,23,2,297,24,1,2,0,0,1,0,0,309,25,2,320,26,2,336,27,1,2,0,NA,NA,NA,NA,344,28,1,357,29,2,"1","1","2","1","1","1","1","1","1","1","1","11","12","21","11","11","11","11","11","11","11"
"4",5,3,1,10,1982,1,1,1,1,186,15,1,2,1,194,16,1,205,17,-4,3,218,18,3,234,19,3,0,0,1,1,1,243,20,255,21,2,266,22,1,277,23,1,2,1,0,1,1,0,289,24,1,300,25,1,312,26,1,4,1,0,0,1,0,323,26,3,338,28,2,"2","2","2","1","1","1","1","1","2","2","1","22","22","21","11","11","11","11","12","22","21"
"5",6,4,2,1,1982,1,1,-4,-4,188,15,1,2,0,202,16,0,215,17,5,2,229,19,3,242,20,2,0,1,1,1,1,251,20,266,22,7,278,23,7,290,24,12,2,1,1,1,1,0,302,25,7,310,25,7,323,26,7,7,1,1,1,1,1,334,27,7,346,28,7,"1","2","1","3","3","1","3","3","3","3","3","12","21","13","33","31","13","33","33","33","33"
"10",11,0,2,6,1982,1,1,-4,-4,181,15,1,2,0,197,16,0,210,17,-4,3,222,18,1,235,19,2,0,0,1,1,0,247,20,257,21,2,273,22,1,281,23,1,1,0,0,1,1,1,293,24,1,304,25,1,317,26,1,1,0,0,0,1,0,328,27,1,342,28,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"12",13,1,1,11,1984,-4,-4,-4,-4,154,12,1,2,1,168,13,4,181,15,0,2,193,16,1,204,16,1,0,0,1,1,0,218,18,228,18,1,240,20,1,253,21,1,1,0,0,0,0,0,265,22,1,281,23,2,291,24,1,1,1,0,1,0,0,302,25,1,313,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"15",16,3,1,2,1982,1,1,-4,-4,182,15,1,2,0,201,16,1,213,17,1,1,225,18,3,241,20,5,1,0,1,1,0,251,20,261,21,1,273,22,1,286,23,1,1,0,NA,0,NA,1,301,25,3,310,25,1,326,27,1,2,1,0,1,0,0,332,27,1,345,28,2,"1","2","2","1","1","1","2","1","1","1","1","12","22","21","11","11","12","21","11","11","11"
"20",21,0,1,8,1982,1,1,-4,-4,175,14,1,2,0,195,16,0,207,17,0,1,220,18,2,233,19,2,1,1,1,1,0,246,20,255,21,1,267,22,1,280,23,1,1,NA,NA,1,0,0,292,24,1,303,25,2,314,26,1,2,NA,NA,1,1,0,325,27,1,340,28,2,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"22",23,3,2,1,1983,1,11,-4,-4,173,14,1,2,2,190,15,2,202,16,0,1,214,17,5,227,18,3,1,0,1,1,1,240,20,252,21,5,263,21,2,274,22,12,2,0,0,1,1,0,286,23,4,300,24,2,310,25,12,4,0,1,1,1,0,322,26,1,335,27,6,"1","2","2","2","1","1","2","1","2","1","3","12","22","22","21","11","12","21","12","21","13"
"23",24,7,1,6,1984,11,11,-2,11,152,12,1,2,0,173,14,1,188,15,7,1,199,16,1,210,17,1,0,1,1,1,0,223,18,234,19,1,249,20,2,258,21,27,1,NA,NA,1,0,0,272,22,1,282,23,1,297,24,-2,1,NA,NA,1,1,0,305,25,1,317,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"24",25,7,2,3,1983,11,11,-2,11,167,13,1,2,4,188,15,3,201,16,4,5,214,17,7,226,18,7,1,0,1,1,1,236,19,254,21,2,261,21,7,272,22,11,5,1,1,1,1,1,284,23,7,295,24,5,307,25,12,7,1,1,1,1,1,319,26,7,332,27,7,"2","3","3","1","3","2","3","2","3","3","3","23","33","31","13","32","23","32","23","33","33"
