"id","byear","time","attend"
1,"1981",2000,1
1,"1981",2001,6
1,"1981",2002,2
1,"1981",2003,1
1,"1981",2004,1
1,"1981",2005,1
1,"1981",2006,1
1,"1981",2007,1
1,"1981",2008,1
1,"1981",2009,1
1,"1981",2010,1
2,"1982",2000,2
2,"1982",2001,2
2,"1982",2002,1
2,"1982",2003,1
2,"1982",2004,2
2,"1982",2005,2
2,"1982",2006,NA
2,"1982",2007,NA
2,"1982",2008,3
2,"1982",2009,1
2,"1982",2010,2
3,"1983",2000,3
3,"1983",2001,2
3,"1983",2002,2
3,"1983",2003,2
3,"1983",2004,1
3,"1983",2005,NA
3,"1983",2006,NA
3,"1983",2007,NA
3,"1983",2008,NA
3,"1983",2009,6
3,"1983",2010,NA
4,"1981",2000,2
4,"1981",2001,1
4,"1981",2002,3
4,"1981",2003,1
4,"1981",2004,2
4,"1981",2005,2
4,"1981",2006,2
4,"1981",2007,2
4,"1981",2008,2
4,"1981",2009,1
4,"1981",2010,2
5,"1982",2000,3
5,"1982",2001,3
5,"1982",2002,3
5,"1982",2003,2
5,"1982",2004,1
5,"1982",2005,2
5,"1982",2006,1
5,"1982",2007,1
5,"1982",2008,4
5,"1982",2009,3
5,"1982",2010,2
6,"1982",2000,2
6,"1982",2001,3
6,"1982",2002,2
6,"1982",2003,7
6,"1982",2004,7
6,"1982",2005,2
6,"1982",2006,7
6,"1982",2007,7
6,"1982",2008,7
6,"1982",2009,7
6,"1982",2010,7
7,"1983",2000,6
7,"1983",2001,1
7,"1983",2002,1
7,"1983",2003,NA
7,"1983",2004,NA
7,"1983",2005,1
7,"1983",2006,1
7,"1983",2007,NA
7,"1983",2008,NA
7,"1983",2009,1
7,"1983",2010,1
8,"1981",2000,2
8,"1981",2001,2
8,"1981",2002,4
8,"1981",2003,3
8,"1981",2004,3
8,"1981",2005,3
8,"1981",2006,3
8,"1981",2007,3
8,"1981",2008,NA
8,"1981",2009,3
8,"1981",2010,NA
9,"1982",2000,5
9,"1982",2001,4
9,"1982",2002,2
9,"1982",2003,4
9,"1982",2004,3
9,"1982",2005,4
9,"1982",2006,NA
9,"1982",2007,2
9,"1982",2008,3
9,"1982",2009,3
9,"1982",2010,5
10,"1984",2000,6
10,"1984",2001,6
10,"1984",2002,6
10,"1984",2003,6
10,"1984",2004,6
10,"1984",2005,6
10,"1984",2006,6
10,"1984",2007,4
10,"1984",2008,4
10,"1984",2009,2
10,"1984",2010,NA
11,"1982",2000,3
11,"1982",2001,1
11,"1982",2002,2
11,"1982",2003,2
11,"1982",2004,1
11,"1982",2005,1
11,"1982",2006,1
11,"1982",2007,1
11,"1982",2008,1
11,"1982",2009,1
11,"1982",2010,1
12,"1981",2000,7
12,"1981",2001,7
12,"1981",2002,3
12,"1981",2003,6
12,"1981",2004,2
12,"1981",2005,NA
12,"1981",2006,5
12,"1981",2007,4
12,"1981",2008,5
12,"1981",2009,4
12,"1981",2010,2
13,"1984",2000,2
13,"1984",2001,1
13,"1984",2002,1
13,"1984",2003,1
13,"1984",2004,1
13,"1984",2005,1
13,"1984",2006,1
