"id","sex","bmonth","byear","agemon_1997","race","agemon_1998","agemon_1999","attend_2000","agemon_2000","attend_2001","agemon_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","agemon_2003","attend_2003","agemon_2004","attend_2004","agemon_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","attend_2006","agemon_2007","attend_2007","agemon_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","attend_2009","agemon_2010","attend_2010","rvalues_2002","rvalues_2005","rvalues_2008","rtodo_2002","rtodo_2005","rtodo_2008","cat2000","cat2001","cat2002","cat2003","cat2004","cat2005","cat2006","cat2007","cat2008","cat2009","cat2010"
1,2,9,1981,190,4,"206","219",1,231,6,243,2,"0","1","1","0","0",256,266,1,279,1,290,"21",1,"1","0","1","0","0",302,1,313,1,325,"21",1,"1","0","1","0","0",337,1,350,1,1,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1
4,2,2,1981,192,2,"213","228",2,238,1,251,3,"1","0","1","0","1",262,276,1,287,2,297,"1",2,"1","0","1","1","0",309,2,320,2,336,"1",2,"1","D","D","D","D",344,1,357,2,0,0,0,1,0,NA,1,1,2,1,1,1,1,1,1,1,1
5,1,10,1982,186,2,"194","205",3,218,3,234,3,"1","0","1","0","1",243,255,2,266,1,277,"1",2,"0","0","1","0","0",289,1,300,1,312,"1",4,"0","0","0","0","0",323,3,338,2,0,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1
6,2,1,1982,188,2,"202","215",2,229,3,242,2,"1","1","1","0","1",251,266,7,278,7,290,"12",2,"0","1","1","0","0",302,7,310,7,323,"7",7,"0","1","1","0","1",334,7,346,7,0,1,1,1,1,1,1,2,1,3,3,1,3,3,3,3,3
11,2,6,1982,181,2,"197","210",3,222,1,235,2,"1","0","1","0","0",247,257,2,273,1,281,"1",1,"1","0","1","0","1",293,1,304,1,317,"1",1,"1","0","0","0","0",328,1,342,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1
13,1,11,1984,154,2,"168","181",2,193,1,204,1,"1","0","1","0","0",218,228,1,240,1,253,"1",1,"1","0","0","1","0",265,1,281,2,291,"1",1,"0","0","1","1","0",302,1,313,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
16,1,2,1982,182,2,"201","213",1,225,3,241,5,"0","0","1","0","0",251,261,1,273,1,286,"1",1,"1","R","0","D","1",301,3,310,1,326,"1",2,"0","0","1","1","0",332,1,345,2,1,0,1,1,NA,0,1,2,2,1,1,1,2,1,1,1,1
21,1,8,1982,175,2,"195","207",1,220,2,233,2,"0","1","1","0","0",246,255,1,267,1,280,"1",1,"D","D","1","1","0",292,1,303,2,314,"1",2,"D","D","1","0","0",325,1,340,2,1,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23,2,1,1983,173,2,"190","202",1,214,5,227,3,"0","0","1","0","1",240,252,5,263,2,274,"12",2,"1","0","1","0","0",286,4,300,2,310,"12",4,"1","1","1","0","0",322,1,335,6,1,0,0,1,1,1,1,2,2,2,1,1,2,1,2,1,3
24,1,6,1984,152,2,"173","188",1,199,1,210,1,"1","1","1","0","0",223,234,1,249,2,258,"27",1,"D","D","1","1","0",272,1,282,1,297,"D",1,"D","D","1","0","0",305,1,317,1,0,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1
25,2,3,1983,167,2,"188","201",5,214,7,226,7,"0","0","1","0","1",236,254,2,261,7,272,"11",5,"0","1","1","0","1",284,7,295,5,307,"12",7,"0","1","1","0","1",319,7,332,7,1,1,1,1,1,1,2,3,3,1,3,2,3,2,3,3,3
27,1,5,1981,189,1,"N","226",2,237,2,247,2,"1","0","1","0","1",259,273,4,283,2,294,"2",1,"1","1","1","0","0",308,1,317,1,329,"13",1,"1","1","1","0","0",341,1,354,1,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1
28,2,11,1983,159,1,"182","193",6,205,6,217,6,"1","1","1","0","1",229,241,6,253,6,265,"32",6,"1","1","1","0","1",279,6,289,6,301,"32",5,"1","0","1","0","1",311,2,325,4,0,0,0,1,1,1,3,3,3,3,3,3,3,3,2,1,2
33,2,12,1980,199,4,"217","228",2,240,3,253,2,"0","0","1","0","0",265,275,2,287,2,301,"1",3,"0","0","1","D","0",311,2,323,3,335,"1",2,"0","0","1","0","0",346,2,359,2,1,1,1,1,NA,1,1,2,1,1,1,2,1,2,1,1,1
34,2,12,1984,149,4,"169","180",3,193,2,204,2,"0","0","1","0","1",217,229,2,239,2,251,"17",2,"1","D","1","0","0",263,1,274,1,287,"15",1,"1","0","1","0","0",299,1,310,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1
35,1,1,1983,175,4,"193","202",1,216,1,227,1,"1","D","0","D","0",239,250,1,264,1,274,"25",1,"1","0","0","D","0",286,1,297,1,310,"27",1,"1","0","0","D","0",320,1,334,1,0,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1
37,2,11,1980,198,4,"219","231",1,243,1,253,2,"1","0","D","0","0",266,279,1,289,1,300,"25",2,"1","0","0","1","0",313,1,327,2,335,"25",1,"1","0","0","D","0",352,1,360,1,0,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,1,1
38,2,9,1981,190,4,"209","221",1,233,1,243,3,"1","0","1","0","0",256,269,1,279,1,290,"25",1,"1","0","0","1","0",303,1,318,1,325,"25",1,"1","0","0","D","0",336,1,350,1,0,0,0,1,0,NA,1,1,2,1,1,1,1,1,1,1,1
41,2,1,1983,169,4,"192","201",2,216,2,227,1,"1","0","0","0","0",238,251,1,265,1,274,"27",1,"1","0","0","0","0",287,1,298,1,310,"27",1,"1","0","0","0","0",321,2,334,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1,8,1983,162,4,"185","194",1,209,2,220,1,"1","0","0","1","0",232,243,1,256,1,268,"22",1,"1","0","0","1","0",279,1,290,1,308,"25",1,"1","0","0","1","0",314,1,332,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
44,1,12,1981,186,2,"206","216",7,229,7,241,7,"1","1","1","1","1",252,267,7,275,7,288,"11",6,"1","1","1","0","1",300,7,312,7,324,"13",7,"0","1","1","0","1",335,7,347,2,0,0,1,0,1,1,3,3,3,3,3,3,3,3,3,3,1
45,2,2,1984,160,1,"180","192",3,206,1,216,1,"1","1","1","1","1",226,240,1,252,5,263,"27",1,"1","D","1","0","0",274,1,284,2,296,"2",1,"1","1","1","0","1",308,2,321,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,1,1,1
