"id","byear","time","attend","AgeMon"
1,1981,2000,1,231
1,1981,2001,6,243
1,1981,2002,2,256
1,1981,2003,1,266
1,1981,2004,1,279
1,1981,2005,1,290
1,1981,2006,1,302
1,1981,2007,1,313
1,1981,2008,1,325
1,1981,2009,1,337
1,1981,2010,1,350
2,1982,2000,2,221
2,1982,2001,2,232
2,1982,2002,1,245
2,1982,2003,1,256
2,1982,2004,2,268
2,1982,2005,2,284
2,1982,2006,NA,NA
2,1982,2007,NA,NA
2,1982,2008,3,318
2,1982,2009,1,330
2,1982,2010,2,344
3,1983,2000,3,210
3,1983,2001,2,222
3,1983,2002,2,232
3,1983,2003,2,249
3,1983,2004,1,255
3,1983,2005,NA,NA
3,1983,2006,NA,NA
3,1983,2007,NA,NA
3,1983,2008,NA,NA
3,1983,2009,6,317
3,1983,2010,NA,NA
4,1981,2000,2,238
4,1981,2001,1,251
4,1981,2002,3,262
4,1981,2003,1,276
4,1981,2004,2,287
4,1981,2005,2,297
4,1981,2006,2,309
4,1981,2007,2,320
4,1981,2008,2,336
4,1981,2009,1,344
4,1981,2010,2,357
5,1982,2000,3,218
5,1982,2001,3,234
5,1982,2002,3,243
5,1982,2003,2,255
5,1982,2004,1,266
5,1982,2005,2,277
5,1982,2006,1,289
5,1982,2007,1,300
5,1982,2008,4,312
5,1982,2009,3,323
5,1982,2010,2,338
6,1982,2000,2,229
6,1982,2001,3,242
6,1982,2002,2,251
6,1982,2003,7,266
6,1982,2004,7,278
6,1982,2005,2,290
6,1982,2006,7,302
6,1982,2007,7,310
6,1982,2008,7,323
6,1982,2009,7,334
6,1982,2010,7,346
7,1983,2000,6,214
7,1983,2001,1,224
7,1983,2002,1,237
7,1983,2003,NA,NA
7,1983,2004,NA,NA
7,1983,2005,1,275
7,1983,2006,1,283
7,1983,2007,NA,NA
7,1983,2008,NA,NA
7,1983,2009,1,319
7,1983,2010,1,332
8,1981,2000,2,234
8,1981,2001,2,246
8,1981,2002,4,258
8,1981,2003,3,273
8,1981,2004,3,282
8,1981,2005,3,295
8,1981,2006,3,307
8,1981,2007,3,318
8,1981,2008,NA,NA
8,1981,2009,3,344
8,1981,2010,NA,NA
9,1982,2000,5,218
9,1982,2001,4,232
9,1982,2002,2,244
9,1982,2003,4,254
9,1982,2004,3,266
9,1982,2005,4,279
9,1982,2006,NA,289
9,1982,2007,2,301
9,1982,2008,3,314
9,1982,2009,3,325
9,1982,2010,5,339
10,1984,2000,6,201
10,1984,2001,6,212
10,1984,2002,6,226
10,1984,2003,6,237
10,1984,2004,6,249
10,1984,2005,6,261
10,1984,2006,6,272
10,1984,2007,4,285
10,1984,2008,4,299
10,1984,2009,2,308
10,1984,2010,NA,NA
11,1982,2000,3,222
11,1982,2001,1,235
11,1982,2002,2,247
11,1982,2003,2,257
11,1982,2004,1,273
11,1982,2005,1,281
11,1982,2006,1,293
11,1982,2007,1,304
11,1982,2008,1,317
11,1982,2009,1,328
11,1982,2010,1,342
12,1981,2000,7,231
12,1981,2001,7,244
12,1981,2002,3,254
12,1981,2003,6,266
12,1981,2004,2,278
12,1981,2005,NA,NA
12,1981,2006,5,306
12,1981,2007,4,314
12,1981,2008,5,328
12,1981,2009,4,337
12,1981,2010,2,350
13,1984,2000,2,193
13,1984,2001,1,204
13,1984,2002,1,218
13,1984,2003,1,228
13,1984,2004,1,240
13,1984,2005,1,253
13,1984,2006,1,265
13,1984,2007,2,281
13,1984,2008,1,291
13,1984,2009,1,302
13,1984,2010,1,313
14,1980,2000,NA,NA
14,1980,2001,NA,NA
14,1980,2002,NA,NA
14,1980,2003,NA,NA
14,1980,2004,NA,NA
14,1980,2005,NA,NA
14,1980,2006,NA,NA
14,1980,2007,NA,NA
14,1980,2008,NA,NA
14,1980,2009,NA,NA
14,1980,2010,NA,NA
15,1983,2000,2,218
15,1983,2001,2,228
15,1983,2002,1,241
15,1983,2003,1,253
15,1983,2004,3,265
15,1983,2005,1,275
15,1983,2006,1,287
15,1983,2007,NA,NA
15,1983,2008,NA,NA
15,1983,2009,2,327
15,1983,2010,2,339
16,1982,2000,1,225
16,1982,2001,3,241
16,1982,2002,5,251
16,1982,2003,1,261
16,1982,2004,1,273
16,1982,2005,1,286
16,1982,2006,3,301
16,1982,2007,1,310
16,1982,2008,2,326
16,1982,2009,1,332
16,1982,2010,2,345
17,1981,2000,1,234
17,1981,2001,NA,NA
17,1981,2002,NA,NA
17,1981,2003,NA,NA
17,1981,2004,1,277
17,1981,2005,NA,NA
17,1981,2006,NA,NA
17,1981,2007,NA,NA
17,1981,2008,NA,NA
17,1981,2009,NA,NA
17,1981,2010,NA,NA
18,1982,2000,2,229
18,1982,2001,NA,NA
